environment,family,seed,budget,method,ndcg,delta_vs_source_router,onboarding_operations,task_searches,workload,total_operations,mean_profile_apply_seconds
scifact_bm25,exact_title,11,0,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,11,0,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,11,0,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,11,0,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,11,0,profile_router,0.6209204636764345,0.0,0,1,1,1,3.785279889901479e-06
scifact_bm25,exact_title,11,0,profile_router,0.6209204636764345,0.0,0,1,10,10,3.785279889901479e-06
scifact_bm25,exact_title,11,0,profile_router,0.6209204636764345,0.0,0,1,50,50,3.785279889901479e-06
scifact_bm25,exact_title,11,0,profile_router,0.6209204636764345,0.0,0,1,200,200,3.785279889901479e-06
scifact_bm25,exact_title,11,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,1,1,0.0
scifact_bm25,exact_title,11,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,10,10,0.0
scifact_bm25,exact_title,11,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,50,50,0.0
scifact_bm25,exact_title,11,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,200,200,0.0
scifact_bm25,exact_title,11,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,11,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,11,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,11,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,11,16,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,11,16,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,11,16,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,11,16,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,11,16,profile_router,0.6209204636764345,0.0,15,1,1,16,3.6066661899288497e-06
scifact_bm25,exact_title,11,16,profile_router,0.6209204636764345,0.0,15,1,10,25,3.6066661899288497e-06
scifact_bm25,exact_title,11,16,profile_router,0.6209204636764345,0.0,15,1,50,65,3.6066661899288497e-06
scifact_bm25,exact_title,11,16,profile_router,0.6209204636764345,0.0,15,1,200,215,3.6066661899288497e-06
scifact_bm25,exact_title,11,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,1,16,0.0
scifact_bm25,exact_title,11,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,10,25,0.0
