environment,action,bucket,n_queries,mean_ndcg,mean_recall,mean_delta_vs_original,strict_win_fraction_vs_original
fiqa_bm25,original,-1,150,0.25251415790289977,0.3233333333333333,0.0,0.0
fiqa_bm25,original,0,31,0.13661532162362866,0.22580645161290322,0.0,0.0
fiqa_bm25,original,1,20,0.2770473834732147,0.30833333333333335,0.0,0.0
fiqa_bm25,original,2,61,0.22991122260942587,0.2904371584699454,0.0,0.0
fiqa_bm25,original,3,38,0.370434643854295,0.4635964912280701,0.0,0.0
fiqa_bm25,keywords,-1,150,0.24878108804726026,0.315,-0.003733069855639541,0.08666666666666667
fiqa_bm25,keywords,0,31,0.15762580277662747,0.22580645161290322,0.021010481152998802,0.12903225806451613
fiqa_bm25,keywords,1,20,0.2807305396950758,0.30833333333333335,0.0036831562218610212,0.1
fiqa_bm25,keywords,2,61,0.2249577223598588,0.3027322404371585,-0.004953500249567064,0.06557377049180328
fiqa_bm25,keywords,3,38,0.34457188060949173,0.41096491228070176,-0.025862763244803248,0.07894736842105263
fiqa_bm25,semantic,-1,150,0.17139180061113862,0.21144444444444443,-0.08112235729176116,0.12
fiqa_bm25,semantic,0,31,0.10286443858347427,0.13440860215053763,-0.03375088304015436,0.0967741935483871
fiqa_bm25,semantic,1,20,0.10257783615298025,0.14583333333333331,-0.1744695473202345,0.05
fiqa_bm25,semantic,2,61,0.1786059846299628,0.22295081967213115,-0.05130523797946307,0.16393442622950818
fiqa_bm25,semantic,3,38,0.2519329134235725,0.2903508771929824,-0.11850173043072246,0.10526315789473684
fiqa_bm25,hyde,-1,150,0.1814464440107579,0.23199999999999998,-0.07106771389214188,0.15333333333333332
fiqa_bm25,hyde,0,31,0.10260410452845682,0.12903225806451613,-0.034011217095171825,0.12903225806451613
fiqa_bm25,hyde,1,20,0.14948240632151438,0.2333333333333333,-0.12756497715170034,0.1
fiqa_bm25,hyde,2,61,0.16414872853537343,0.2210382513661202,-0.06576249407405245,0.18032786885245902
fiqa_bm25,hyde,3,38,0.29035575774061734,0.3328947368421053,-0.08007888611367764,0.15789473684210525
fiqa_bm25,decomposed,-1,150,0.1714005898477249,0.233,-0.0811135680551749,0.14
fiqa_bm25,decomposed,0,31,0.09255948506999033,0.14516129032258066,-0.04405583655363832,0.06451612903225806
fiqa_bm25,decomposed,1,20,0.1490239965363537,0.20416666666666666,-0.12802338693686105,0.1
fiqa_bm25,decomposed,2,61,0.16874915189034248,0.24398907103825138,-0.06116207071908341,0.21311475409836064
fiqa_bm25,decomposed,3,38,0.2517517432618702,0.3021929824561404,-0.11868290059242471,0.10526315789473684
fiqa_dense,original,-1,150,0.3921141942640467,0.48439682539682544,0.0,0.0
fiqa_dense,original,0,31,0.3085738952372991,0.3817204301075268,0.0,0.0
fiqa_dense,original,1,20,0.5037822414315247,0.6166666666666666,0.0,0.0
fiqa_dense,original,2,61,0.37129632225629156,0.4709211553473848,0.0,0.0
fiqa_dense,original,3,38,0.4349109973943805,0.5201754385964912,0.0,0.0
fiqa_dense,keywords,-1,150,0.3574211195347706,0.4468412698412699,-0.03469307472927603,0.15333333333333332
fiqa_dense,keywords,0,31,0.23965169808007755,0.3548387096774194,-0.06892219715722162,0.16129032258064516
fiqa_dense,keywords,1,20,0.5059734289734673,0.6166666666666666,0.002191187541942574,0.1
fiqa_dense,keywords,2,61,0.3249938998284546,0.41190476190476183,-0.04630242242783685,0.22950819672131148
fiqa_dense,keywords,3,38,0.4273649689665295,0.4885964912280702,-0.007546028427851015,0.05263157894736842
fiqa_dense,semantic,-1,150,0.35828482428237435,0.4453333333333334,-0.03382936998167236,0.20666666666666667
fiqa_dense,semantic,0,31,0.3238759799480844,0.4301075268817204,0.01530208471078527,0.25806451612903225
fiqa_dense,semantic,1,20,0.4178807070224059,0.5333333333333333,-0.08590153440911887,0.2
fiqa_dense,semantic,2,61,0.32371101845644096,0.4144808743169399,-0.04758530379985054,0.19672131147540983
fiqa_dense,semantic,3,38,0.4104889999388032,0.46096491228070174,-0.02442199745557729,0.18421052631578946
fiqa_dense,hyde,-1,150,0.3325277311740831,0.42606349206349203,-0.05958646308996374,0.18
fiqa_dense,hyde,0,31,0.24543875027065473,0.29569892473118276,-0.06313514496664444,0.16129032258064516
fiqa_dense,hyde,1,20,0.3786529005401559,0.5583333333333333,-0.12512934089136882,0.0
fiqa_dense,hyde,2,61,0.3434145021354499,0.4313036690085871,-0.02788182012084158,0.2459016393442623
fiqa_dense,hyde,3,38,0.36182146780675234,0.45438596491228067,-0.07308952958762814,0.18421052631578946
fiqa_dense,decomposed,-1,150,0.356139528645328,0.4653968253968254,-0.035974665618718746,0.21333333333333335
