environment,seed,budget,method,future_tasks,ndcg,recall_at_10,measured_onboarding_generation_seconds,amortized_setup_generation_seconds_per_future_task,total_search_calls,total_sample_calls,total_llm_calls,total_input_tokens,total_output_tokens
fiqa_bm25,11,0,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,8,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,8,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,8,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,8,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,16,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,16,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,16,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,16,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,32,source_router,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,32,source_router,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,32,source_router,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,32,source_router,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,random,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,random,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,random,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,random,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,random,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,9.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,random,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,18.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,random,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,58.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,random,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,208.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,random,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,17.0,16.0,48.0,20434.0,5505.0
