method,budget,equal_family_ndcg,equal_family_recall_at_10,n_families,family_ndcg,family_recall_at_10
source_router,0,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
source_router,4,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
source_router,8,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
source_router,16,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
source_router,32,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
random,0,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
random,4,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
random,8,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
random,16,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
random,32,0.38577459165519024,0.46294931279546664,3,"{""fiqa"": 0.2925209445384914, ""nfcorpus"": 0.23994595637188845, ""scifact"": 0.624856874055191}","{""fiqa"": 0.3746984126984127, ""nfcorpus"": 0.25526063679909833, ""scifact"": 0.7588888888888888}"
