environment,seed,all_pool_pair_count,logical_search_calls_to_observe_all_pairs,observed_full_pool_changed_action_fraction,certified_unchangeable_fraction_at_full_pair_count,evaluator_only,original_observed_correction_max_abs,keywords_observed_correction_max_abs,semantic_observed_correction_max_abs,hyde_observed_correction_max_abs,decomposed_observed_correction_max_abs
fiqa_bm25,11,128,288,0.0,1.0,True,0.0,0.0,0.0003089125588268682,0.003559365205131393,0.0008829394894055986
fiqa_bm25,23,128,288,0.0,1.0,True,0.0,0.0,0.0006595823484902841,0.00616199234268705,0.0020277664238422255
fiqa_bm25,47,128,288,0.0,1.0,True,0.0,0.0,0.001209248614639613,0.006929597910435403,0.001785136817310462
fiqa_dense,11,128,288,0.0,1.0,True,0.0,4.1294299718552807e-07,0.0002625809728938333,0.0006229336831817256,0.0020960887746249712
fiqa_dense,23,128,288,0.0,1.0,True,0.0,7.741932985805278e-07,0.00014952844388854691,0.00040715548665193335,0.0014645150753354597
fiqa_dense,47,128,288,0.0,1.0,True,0.0,8.166595976688562e-07,0.00018510741778643425,0.0004865548479087156,0.0015001445260190982
nfcorpus_bm25,11,128,288,0.0,1.0,True,0.0,1.846249162823499e-05,0.0015047209566922404,0.0010790762427266842,0.002002660446422111
nfcorpus_bm25,23,128,288,0.0,1.0,True,0.0,2.2665952500111608e-05,0.0015795794779813188,0.0013073115656206946,0.0007706799210436821
nfcorpus_bm25,47,128,288,0.0,1.0,True,0.0,8.791662680085466e-07,0.00107699853080101,0.0009317639799471533,0.00043425429003079996
nfcorpus_dense,11,128,288,0.0,1.0,True,0.0,8.993977206328552e-07,1.9132833201540578e-05,0.00022599190890881804,0.0002063175144841889
nfcorpus_dense,23,128,288,0.0,1.0,True,0.0,1.7603087389517214e-05,5.455883608573853e-05,0.0005844485192364468,0.0005742936807985322
nfcorpus_dense,47,128,288,0.0,1.0,True,0.0,1.4689803591982908e-05,7.619766588407018e-05,0.0006278529633623187,0.0005733107052854902
scifact_bm25,11,128,288,0.0,1.0,True,0.0,0.0,0.0007964088450159446,0.00018133496765304624,0.0008513830403178158
scifact_bm25,23,128,288,0.0,1.0,True,0.0,0.0,0.0007434637196328531,0.00034902849909507205,0.001279180255093132
scifact_bm25,47,128,288,0.0,1.0,True,0.0,2.372593207344842e-05,0.00012092577372260771,0.00028063668818520404,0.0010368705647396392
scifact_dense,11,128,288,0.0,1.0,True,0.0,1.805115078379327e-05,3.2214106926442554e-06,0.00031301512350029315,0.00010166568207453652
scifact_dense,23,128,288,0.0,1.0,True,0.0,3.85559734417118e-05,9.472502707219554e-07,7.77648430885236e-05,4.937542237715142e-05
scifact_dense,47,128,288,0.0,1.0,True,0.0,0.0,0.0,9.625669640639378e-05,4.6077386144260934e-05
