environment,comparator,mean,lo,hi
fiqa_bm25,source_router,0.11666010402075187,0.08260773649997238,0.15327893947846158
fiqa_bm25,target_fixed_oracle,0.11666010402075187,0.08171978140326507,0.15371069254555975
fiqa_dense,source_router,0.19773330959075708,0.15797635405882965,0.2407207582612308
fiqa_dense,target_fixed_oracle,0.13814684650079334,0.1048598764683211,0.17472498956204896
nfcorpus_bm25,source_router,0.05388117658796707,0.022455580547788654,0.09510852186147913
nfcorpus_bm25,target_fixed_oracle,0.05051663095113278,0.020120712637561967,0.09163684523831561
nfcorpus_dense,source_router,0.0619960479036571,0.029871221267428673,0.1007308289307796
nfcorpus_dense,target_fixed_oracle,0.0619960479036571,0.02998649600044245,0.09981306573205258
scifact_bm25,source_router,0.16439573884185074,0.12100489530923068,0.21040967116877657
scifact_bm25,target_fixed_oracle,0.14961515195027672,0.10938762956000564,0.19326707312515284
scifact_dense,source_router,0.14562519369772697,0.10496764060920596,0.18771353045772524
scifact_dense,target_fixed_oracle,0.1097363835557676,0.07793107208757062,0.1445157149695878
