environment,method,budget,comparator,mean,lo,hi
fiqa_bm25,random,0,source_router,0.0,0.0,0.0
fiqa_bm25,random,0,random,0.0,0.0,0.0
fiqa_bm25,random,4,source_router,0.0,0.0,0.0
fiqa_bm25,random,4,random,0.0,0.0,0.0
fiqa_bm25,random,8,source_router,0.0,0.0,0.0
fiqa_bm25,random,8,random,0.0,0.0,0.0
fiqa_bm25,random,16,source_router,0.0,0.0,0.0
fiqa_bm25,random,16,random,0.0,0.0,0.0
fiqa_bm25,random,32,source_router,0.0,0.0,0.0
fiqa_bm25,random,32,random,0.0,0.0,0.0
fiqa_bm25,fixed,0,source_router,0.0,0.0,0.0
fiqa_bm25,fixed,0,random,0.0,0.0,0.0
fiqa_bm25,fixed,4,source_router,0.0,0.0,0.0
fiqa_bm25,fixed,4,random,0.0,0.0,0.0
fiqa_bm25,fixed,8,source_router,0.0,0.0,0.0
fiqa_bm25,fixed,8,random,0.0,0.0,0.0
fiqa_bm25,fixed,16,source_router,0.0,0.0,0.0
fiqa_bm25,fixed,16,random,0.0,0.0,0.0
fiqa_bm25,fixed,32,source_router,0.0,0.0,0.0
fiqa_bm25,fixed,32,random,0.0,0.0,0.0
fiqa_bm25,information_gain,0,source_router,0.0,0.0,0.0
fiqa_bm25,information_gain,0,random,0.0,0.0,0.0
fiqa_bm25,information_gain,4,source_router,0.0,0.0,0.0
fiqa_bm25,information_gain,4,random,0.0,0.0,0.0
fiqa_bm25,information_gain,8,source_router,0.0,0.0,0.0
fiqa_bm25,information_gain,8,random,0.0,0.0,0.0
fiqa_bm25,information_gain,16,source_router,0.0,0.0,0.0
fiqa_bm25,information_gain,16,random,0.0,0.0,0.0
fiqa_bm25,information_gain,32,source_router,0.0,0.0,0.0
fiqa_bm25,information_gain,32,random,0.0,0.0,0.0
fiqa_bm25,learned_value,0,source_router,0.0,0.0,0.0
fiqa_bm25,learned_value,0,random,0.0,0.0,0.0
fiqa_bm25,learned_value,4,source_router,0.0,0.0,0.0
fiqa_bm25,learned_value,4,random,0.0,0.0,0.0
fiqa_bm25,learned_value,8,source_router,0.0,0.0,0.0
fiqa_bm25,learned_value,8,random,0.0,0.0,0.0
fiqa_bm25,learned_value,16,source_router,0.0,0.0,0.0
fiqa_bm25,learned_value,16,random,0.0,0.0,0.0
fiqa_bm25,learned_value,32,source_router,0.0,0.0,0.0
fiqa_bm25,learned_value,32,random,0.0,0.0,0.0
fiqa_dense,random,0,source_router,0.0,0.0,0.0
fiqa_dense,random,0,random,0.0,0.0,0.0
fiqa_dense,random,4,source_router,0.0,0.0,0.0
fiqa_dense,random,4,random,0.0,0.0,0.0
fiqa_dense,random,8,source_router,0.0,0.0,0.0
fiqa_dense,random,8,random,0.0,0.0,0.0
fiqa_dense,random,16,source_router,0.0,0.0,0.0
fiqa_dense,random,16,random,0.0,0.0,0.0
fiqa_dense,random,32,source_router,0.0,0.0,0.0
fiqa_dense,random,32,random,0.0,0.0,0.0
fiqa_dense,fixed,0,source_router,0.0,0.0,0.0
fiqa_dense,fixed,0,random,0.0,0.0,0.0
fiqa_dense,fixed,4,source_router,0.0,0.0,0.0
fiqa_dense,fixed,4,random,0.0,0.0,0.0
fiqa_dense,fixed,8,source_router,0.0,0.0,0.0
fiqa_dense,fixed,8,random,0.0,0.0,0.0
fiqa_dense,fixed,16,source_router,0.0,0.0,0.0
fiqa_dense,fixed,16,random,0.0,0.0,0.0
fiqa_dense,fixed,32,source_router,0.0,0.0,0.0
fiqa_dense,fixed,32,random,0.0,0.0,0.0
fiqa_dense,information_gain,0,source_router,0.0,0.0,0.0
fiqa_dense,information_gain,0,random,0.0,0.0,0.0
fiqa_dense,information_gain,4,source_router,0.0,0.0,0.0
fiqa_dense,information_gain,4,random,0.0,0.0,0.0
fiqa_dense,information_gain,8,source_router,0.0,0.0,0.0
fiqa_dense,information_gain,8,random,0.0,0.0,0.0
fiqa_dense,information_gain,16,source_router,0.0,0.0,0.0
fiqa_dense,information_gain,16,random,0.0,0.0,0.0
fiqa_dense,information_gain,32,source_router,0.0,0.0,0.0
fiqa_dense,information_gain,32,random,0.0,0.0,0.0
fiqa_dense,learned_value,0,source_router,0.0,0.0,0.0
fiqa_dense,learned_value,0,random,0.0,0.0,0.0
fiqa_dense,learned_value,4,source_router,0.0,0.0,0.0
fiqa_dense,learned_value,4,random,0.0,0.0,0.0
fiqa_dense,learned_value,8,source_router,0.0,0.0,0.0
fiqa_dense,learned_value,8,random,0.0,0.0,0.0
fiqa_dense,learned_value,16,source_router,0.0,0.0,0.0
fiqa_dense,learned_value,16,random,0.0,0.0,0.0
fiqa_dense,learned_value,32,source_router,0.0,0.0,0.0
fiqa_dense,learned_value,32,random,0.0,0.0,0.0
nfcorpus_bm25,random,0,source_router,0.0,0.0,0.0
nfcorpus_bm25,random,0,random,0.0,0.0,0.0
nfcorpus_bm25,random,4,source_router,0.0,0.0,0.0
nfcorpus_bm25,random,4,random,0.0,0.0,0.0
nfcorpus_bm25,random,8,source_router,0.0,0.0,0.0
nfcorpus_bm25,random,8,random,0.0,0.0,0.0
nfcorpus_bm25,random,16,source_router,0.0,0.0,0.0
nfcorpus_bm25,random,16,random,0.0,0.0,0.0
nfcorpus_bm25,random,32,source_router,0.0,0.0,0.0
nfcorpus_bm25,random,32,random,0.0,0.0,0.0
nfcorpus_bm25,fixed,0,source_router,0.0,0.0,0.0
nfcorpus_bm25,fixed,0,random,0.0,0.0,0.0
nfcorpus_bm25,fixed,4,source_router,0.0,0.0,0.0
nfcorpus_bm25,fixed,4,random,0.0,0.0,0.0
nfcorpus_bm25,fixed,8,source_router,0.0,0.0,0.0
nfcorpus_bm25,fixed,8,random,0.0,0.0,0.0
nfcorpus_bm25,fixed,16,source_router,0.0,0.0,0.0
nfcorpus_bm25,fixed,16,random,0.0,0.0,0.0
nfcorpus_bm25,fixed,32,source_router,0.0,0.0,0.0
nfcorpus_bm25,fixed,32,random,0.0,0.0,0.0
nfcorpus_bm25,information_gain,0,source_router,0.0,0.0,0.0
nfcorpus_bm25,information_gain,0,random,0.0,0.0,0.0
nfcorpus_bm25,information_gain,4,source_router,0.0,0.0,0.0
nfcorpus_bm25,information_gain,4,random,0.0,0.0,0.0
nfcorpus_bm25,information_gain,8,source_router,0.0,0.0,0.0
nfcorpus_bm25,information_gain,8,random,0.0,0.0,0.0
nfcorpus_bm25,information_gain,16,source_router,0.0,0.0,0.0
nfcorpus_bm25,information_gain,16,random,0.0,0.0,0.0
nfcorpus_bm25,information_gain,32,source_router,0.0,0.0,0.0
nfcorpus_bm25,information_gain,32,random,0.0,0.0,0.0
nfcorpus_bm25,learned_value,0,source_router,0.0,0.0,0.0
nfcorpus_bm25,learned_value,0,random,0.0,0.0,0.0
nfcorpus_bm25,learned_value,4,source_router,0.0,0.0,0.0
nfcorpus_bm25,learned_value,4,random,0.0,0.0,0.0
nfcorpus_bm25,learned_value,8,source_router,0.0,0.0,0.0
nfcorpus_bm25,learned_value,8,random,0.0,0.0,0.0
nfcorpus_bm25,learned_value,16,source_router,0.0,0.0,0.0
nfcorpus_bm25,learned_value,16,random,0.0,0.0,0.0
nfcorpus_bm25,learned_value,32,source_router,0.0,0.0,0.0
nfcorpus_bm25,learned_value,32,random,0.0,0.0,0.0
nfcorpus_dense,random,0,source_router,0.0,0.0,0.0
nfcorpus_dense,random,0,random,0.0,0.0,0.0
nfcorpus_dense,random,4,source_router,0.0,0.0,0.0
nfcorpus_dense,random,4,random,0.0,0.0,0.0
nfcorpus_dense,random,8,source_router,0.0,0.0,0.0
nfcorpus_dense,random,8,random,0.0,0.0,0.0
nfcorpus_dense,random,16,source_router,0.0,0.0,0.0
nfcorpus_dense,random,16,random,0.0,0.0,0.0
nfcorpus_dense,random,32,source_router,0.0,0.0,0.0
nfcorpus_dense,random,32,random,0.0,0.0,0.0
nfcorpus_dense,fixed,0,source_router,0.0,0.0,0.0
nfcorpus_dense,fixed,0,random,0.0,0.0,0.0
nfcorpus_dense,fixed,4,source_router,0.0,0.0,0.0
nfcorpus_dense,fixed,4,random,0.0,0.0,0.0
nfcorpus_dense,fixed,8,source_router,0.0,0.0,0.0
nfcorpus_dense,fixed,8,random,0.0,0.0,0.0
nfcorpus_dense,fixed,16,source_router,0.0,0.0,0.0
nfcorpus_dense,fixed,16,random,0.0,0.0,0.0
nfcorpus_dense,fixed,32,source_router,0.0,0.0,0.0
nfcorpus_dense,fixed,32,random,0.0,0.0,0.0
nfcorpus_dense,information_gain,0,source_router,0.0,0.0,0.0
nfcorpus_dense,information_gain,0,random,0.0,0.0,0.0
nfcorpus_dense,information_gain,4,source_router,0.0,0.0,0.0
nfcorpus_dense,information_gain,4,random,0.0,0.0,0.0
nfcorpus_dense,information_gain,8,source_router,0.0,0.0,0.0
nfcorpus_dense,information_gain,8,random,0.0,0.0,0.0
nfcorpus_dense,information_gain,16,source_router,0.0,0.0,0.0
nfcorpus_dense,information_gain,16,random,0.0,0.0,0.0
nfcorpus_dense,information_gain,32,source_router,0.0,0.0,0.0
nfcorpus_dense,information_gain,32,random,0.0,0.0,0.0
nfcorpus_dense,learned_value,0,source_router,0.0,0.0,0.0
