environment,pair_budget,n_queries,profile_feature_abs_bound,certified_unchangeable_fraction,changeable_query_fraction_upper_bound,mean_bounded_utility_change_abs_upper_bound,original_correction_abs_bound,keywords_correction_abs_bound,semantic_correction_abs_bound,hyde_correction_abs_bound,decomposed_correction_abs_bound
fiqa_bm25,0,150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa_bm25,4,150,0.5,1.0,0.0,0.0,0.0,0.0,0.004214530342341203,0.013623723397697263,0.004004541766458198
fiqa_bm25,8,150,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.005619373789788271,0.018164964530263016,0.005339389021944263
fiqa_bm25,16,150,0.8,1.0,0.0,0.0,0.0,0.0,0.006743248547745925,0.021797957436315622,0.006407266826333116
fiqa_bm25,32,150,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.0074924983863843605,0.024219952707017357,0.00711918536259235
fiqa_dense,0,150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa_dense,4,150,0.5,1.0,0.0,0.0,0.0,5.989637155531141e-06,0.0011240552223464207,0.0021674525577729414,0.006224995822799934
fiqa_dense,8,150,0.6666666666666666,1.0,0.0,0.0,0.0,7.986182874041522e-06,0.001498740296461894,0.002889936743697255,0.008299994430399912
fiqa_dense,16,150,0.8,1.0,0.0,0.0,0.0,9.583419448849827e-06,0.001798488355754273,0.003467924092436706,0.009959993316479895
fiqa_dense,32,150,0.8888888888888888,1.0,0.0,0.0,0.0,1.0648243832055362e-05,0.0019983203952825255,0.00385324899159634,0.011066659240533214
nfcorpus_bm25,0,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,4,65,0.5,1.0,0.0,0.0,0.0,0.0014838480342863846,0.011048118904829545,0.006189628261945367,0.006109070226347268
nfcorpus_bm25,8,65,0.6666666666666666,1.0,0.0,0.0,0.0,0.0019784640457151796,0.014730825206439393,0.008252837682593822,0.008145426968463024
nfcorpus_bm25,16,65,0.8,1.0,0.0,0.0,0.0,0.0023741568548582156,0.017676990247727273,0.009903405219112588,0.00977451236215563
nfcorpus_bm25,32,65,0.8888888888888888,1.0,0.0,0.0,0.0,0.0026379520609535723,0.019641100275252524,0.011003783576791763,0.01086056929128403
nfcorpus_dense,0,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_dense,4,65,0.5,1.0,0.0,0.0,0.0,0.000608948497037631,0.0011466412716726086,0.0038575799952757666,0.0026550154070228192
nfcorpus_dense,8,65,0.6666666666666666,1.0,0.0,0.0,0.0,0.0008119313293835079,0.0015288550288968113,0.005143439993701022,0.003540020542697092
nfcorpus_dense,16,65,0.8,1.0,0.0,0.0,0.0,0.0009743175952602095,0.0018346260346761736,0.006172127992441227,0.004248024651236511
nfcorpus_dense,32,65,0.8888888888888888,1.0,0.0,0.0,0.0,0.0010825751058446773,0.0020384733718624153,0.006857919991601362,0.00472002739026279
scifact_bm25,0,150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact_bm25,4,150,0.5,1.0,0.0,0.0,0.0,0.001395069365133056,0.010774181282262096,0.006822910173825661,0.009639981333390323
scifact_bm25,8,150,0.6666666666666666,1.0,0.0,0.0,0.0,0.0018600924868440746,0.014365575043016127,0.00909721356510088,0.01285330844452043
scifact_bm25,16,150,0.8,1.0,0.0,0.0,0.0,0.00223211098421289,0.017238690051619356,0.01091665627812106,0.015423970133424517
scifact_bm25,32,150,0.8888888888888888,1.0,0.0,0.0,0.0,0.0024801233157920994,0.019154100057354836,0.012129618086801176,0.017137744592693908
scifact_dense,0,150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact_dense,4,150,0.5,1.0,0.0,0.0,0.0,0.0008717183951846648,0.0005741208575400404,0.008918974559407806,0.0017976316034245831
scifact_dense,8,150,0.6666666666666666,1.0,0.0,0.0,0.0,0.001162291193579553,0.0007654944767200538,0.011891966079210408,0.002396842137899444
scifact_dense,16,150,0.8,1.0,0.0,0.0,0.0,0.0013947494322954638,0.0009185933720640647,0.01427035929505249,0.002876210565479333
scifact_dense,32,150,0.8888888888888888,1.0,0.0,0.0,0.0,0.001549721591439404,0.001020659302293405,0.015855954772280544,0.0031957895171992588
