environment,baseline,n_queries,ndcg,recall_at_10,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
fiqa_bm25,zero_budget,150,0.23978653908293807,0.30944444444444447,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,original_frozen_router,150,0.25251415790289977,0.3233333333333333,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,original_query,150,0.25251415790289977,0.3233333333333333,1.0,0.0,0.0,0.0,0.0
fiqa_dense,zero_budget,150,0.3250366862359049,0.4181746031746032,1.0,0.0,0.5933333333333334,233.19333333333333,74.34666666666666
fiqa_dense,original_frozen_router,150,0.3325277311740831,0.42606349206349203,1.0,0.0,1.0,393.93333333333334,124.31333333333333
fiqa_dense,original_query,150,0.3921141942640467,0.48439682539682544,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,zero_budget,65,0.24510579949889155,0.25775147928994085,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,original_frozen_router,65,0.24510579949889155,0.25775147928994085,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,original_query,65,0.24510579949889155,0.25775147928994085,1.0,0.0,0.0,0.0,0.0
nfcorpus_dense,zero_budget,65,0.22580183663593373,0.2512313327697943,1.0,0.0,0.06153846153846154,24.153846153846153,7.6
nfcorpus_dense,original_frozen_router,65,0.2347861132448854,0.25276979430825586,1.0,0.0,0.0,0.0,0.0
nfcorpus_dense,original_query,65,0.2347861132448854,0.25276979430825586,1.0,0.0,0.0,0.0,0.0
scifact_bm25,zero_budget,150,0.622951300930672,0.7477777777777778,1.0,0.0,0.14,55.12,18.28
scifact_bm25,original_frozen_router,150,0.6061398767848605,0.7344444444444445,1.0,0.0,0.0,0.0,0.0
scifact_bm25,original_query,150,0.6061398767848605,0.7344444444444445,1.0,0.0,0.0,0.0,0.0
scifact_dense,zero_budget,150,0.6376234707584271,0.7833333333333333,1.0,0.0,0.14,55.12,18.28
scifact_dense,original_frozen_router,150,0.6435738713255216,0.7833333333333333,1.0,0.0,0.0,0.0,0.0
scifact_dense,original_query,150,0.6435738713255216,0.7833333333333333,1.0,0.0,0.0,0.0,0.0
