method,budget,n_families,equal_family_ndcg,equal_family_recall_at_10,equal_family_delta_vs_zero_budget,equal_family_delta_vs_original_frozen_router
random,0,3,0.38271760552379447,0.46128549513164896,0.0,-0.0030569861313957253
random,4,3,0.3850955621020651,0.4680001200129405,0.0023779565782705418,-0.0006790295531251834
random,8,3,0.3859452969300907,0.46948160149442203,0.0032276914062961486,0.00017070527490042377
random,16,3,0.3864888354595985,0.4744578598040136,0.003771229935803947,0.0007142438044082216
random,32,3,0.38693111026441623,0.4755965112759985,0.004213504740621665,0.00115651860922594
fixed,0,3,0.38271760552379447,0.46128549513164896,0.0,-0.0030569861313957253
fixed,4,3,0.3829114577579957,0.4614768531563403,0.00019385223420113112,-0.0028631338971945933
fixed,8,3,0.3847493022070389,0.4737418104212976,0.002031696683244331,-0.0010252894481513949
fixed,16,3,0.38542425162467026,0.4728244315039187,0.002706646100875683,-0.000350340030520043
fixed,32,3,0.386338504694717,0.47408653976602694,0.003620899170922324,0.0005639130395265982
information_gain,0,3,0.38271760552379447,0.46128549513164896,0.0,-0.0030569861313957253
information_gain,4,3,0.38695850970750606,0.4751060079521618,0.004240904183711386,0.0011839180523156607
information_gain,8,3,0.38559761405500875,0.47455187689803074,0.0028800085312141103,-0.00017697760018161625
information_gain,16,3,0.38858573565122273,0.47350724252006304,0.005868130127428061,0.0028111439960323355
information_gain,32,3,0.3892529503587105,0.4738776128904334,0.006535344834915879,0.0034783587035201527
decision_value,0,3,0.38271760552379447,0.46128549513164896,0.0,-0.0030569861313957253
decision_value,4,3,0.38695850970750606,0.4751060079521618,0.004240904183711386,0.0011839180523156607
decision_value,8,3,0.38559761405500875,0.47455187689803074,0.0028800085312141103,-0.00017697760018161625
decision_value,16,3,0.38858573565122273,0.47350724252006304,0.005868130127428061,0.0028111439960323355
decision_value,32,3,0.3892529503587105,0.4738776128904334,0.006535344834915879,0.0034783587035201527
