environment,method,budget,comparator,mean,lo,hi
fiqa_bm25,random,0,zero_budget,0.0,0.0,0.0
fiqa_bm25,random,0,random,0.0,0.0,0.0
fiqa_bm25,random,0,original_frozen_router,-0.01272761881996172,-0.03532414455842208,0.005681197205102057
fiqa_bm25,random,4,zero_budget,-0.005690508536331146,-0.020055404686981172,0.004155313391459338
fiqa_bm25,random,4,random,0.0,0.0,0.0
fiqa_bm25,random,4,original_frozen_router,-0.018418127356292863,-0.04106839438161528,0.003411158347446234
fiqa_bm25,random,8,zero_budget,-0.0035065418623255375,-0.0149020795646529,0.004723186946873079
fiqa_bm25,random,8,random,0.0,0.0,0.0
fiqa_bm25,random,8,original_frozen_router,-0.016234160682287255,-0.03937765178732544,0.0036803762668683013
fiqa_bm25,random,16,zero_budget,0.0030185567563367557,-0.013749413906096278,0.022320709103331834
fiqa_bm25,random,16,random,0.0,0.0,0.0
fiqa_bm25,random,16,original_frozen_router,-0.009709062063624962,-0.03321324712690384,0.00681586423782223
fiqa_bm25,random,32,zero_budget,-0.005670134768101782,-0.02054795198407853,0.006336606281056325
fiqa_bm25,random,32,random,0.0,0.0,0.0
fiqa_bm25,random,32,original_frozen_router,-0.018397753588063503,-0.04387091369529926,0.001848821611006018
fiqa_bm25,fixed,0,zero_budget,0.0,0.0,0.0
fiqa_bm25,fixed,0,random,0.0,0.0,0.0
fiqa_bm25,fixed,0,original_frozen_router,-0.01272761881996172,-0.03501746694724391,0.005886477771177729
fiqa_bm25,fixed,4,zero_budget,-0.002835067384050891,-0.014988367680682622,0.003542977647173259
fiqa_bm25,fixed,4,random,0.0028554411522802537,-0.009777728233667625,0.018853972005181924
fiqa_bm25,fixed,4,original_frozen_router,-0.01556268620401261,-0.03901532755943265,0.0040643407036173255
fiqa_bm25,fixed,8,zero_budget,-0.005670134768101782,-0.020469823528638936,0.00585427757080636
fiqa_bm25,fixed,8,random,-0.0021635929057762446,-0.011779844487154459,0.004121084983256888
fiqa_bm25,fixed,8,original_frozen_router,-0.018397753588063503,-0.04171125784285656,0.0026755791317052613
fiqa_bm25,fixed,16,zero_budget,-0.008525575920382037,-0.024194583287375535,0.006707075713225548
fiqa_bm25,fixed,16,random,-0.011544132676718792,-0.034623597482483295,0.0013576648497407437
fiqa_bm25,fixed,16,original_frozen_router,-0.021253194740343758,-0.04536689843703523,0.0013554654367594152
fiqa_bm25,fixed,32,zero_budget,-0.008505202152152674,-0.027126193728603514,0.009397202802593077
fiqa_bm25,fixed,32,random,-0.002835067384050891,-0.01445057231292689,0.0034151321901403488
fiqa_bm25,fixed,32,original_frozen_router,-0.021232820972114392,-0.046130748633077125,0.0022085803344792103
fiqa_bm25,information_gain,0,zero_budget,0.0,0.0,0.0
fiqa_bm25,information_gain,0,random,0.0,0.0,0.0
fiqa_bm25,information_gain,0,original_frozen_router,-0.01272761881996172,-0.034560751701592105,0.006368556424265914
fiqa_bm25,information_gain,4,zero_budget,0.002347082278062109,-0.015126440675502695,0.022878515643090704
fiqa_bm25,information_gain,4,random,0.008037590814393255,-0.011988999352188884,0.03111995994355361
fiqa_bm25,information_gain,4,original_frozen_router,-0.01038053654189961,-0.0334666269250432,0.006329824782397795
fiqa_bm25,information_gain,8,zero_budget,-0.008505202152152674,-0.02487242860773287,0.008122483620601738
fiqa_bm25,information_gain,8,random,-0.004998660289827136,-0.019871205197959,0.0055557350768604425
fiqa_bm25,information_gain,8,original_frozen_router,-0.021232820972114392,-0.047389538558610333,0.0016100035869333962
fiqa_bm25,information_gain,16,zero_budget,-0.008505202152152674,-0.02600203173718569,0.009177333447439113
fiqa_bm25,information_gain,16,random,-0.01152375890848943,-0.032637635111492605,0.0018642004145900508
fiqa_bm25,information_gain,16,original_frozen_router,-0.021232820972114392,-0.04586841883183845,9.539283164401074e-06
fiqa_bm25,information_gain,32,zero_budget,-0.008505202152152674,-0.025251948716842384,0.008724965046983653
fiqa_bm25,information_gain,32,random,-0.002835067384050891,-0.01391255070103135,0.0028433904776160573
fiqa_bm25,information_gain,32,original_frozen_router,-0.021232820972114392,-0.04564432043100887,0.0006466388670861281
fiqa_bm25,decision_value,0,zero_budget,0.0,0.0,0.0
fiqa_bm25,decision_value,0,random,0.0,0.0,0.0
fiqa_bm25,decision_value,0,original_frozen_router,-0.01272761881996172,-0.03470348975654505,0.0056333255271735026
fiqa_bm25,decision_value,4,zero_budget,0.002347082278062109,-0.014652045915536052,0.021116532022724514
fiqa_bm25,decision_value,4,random,0.008037590814393255,-0.010593411168620472,0.03108378972919111
fiqa_bm25,decision_value,4,original_frozen_router,-0.01038053654189961,-0.03418201468910037,0.006667168857070604
fiqa_bm25,decision_value,8,zero_budget,-0.008505202152152674,-0.026047263502636638,0.008378228972721048
fiqa_bm25,decision_value,8,random,-0.004998660289827136,-0.019345867113045298,0.00579224204960219
fiqa_bm25,decision_value,8,original_frozen_router,-0.021232820972114392,-0.04562287276022199,0.0017901484368673633
fiqa_bm25,decision_value,16,zero_budget,-0.008505202152152674,-0.025774209846221103,0.008750461576262044
fiqa_bm25,decision_value,16,random,-0.01152375890848943,-0.03281211168250452,0.002070237958848583
fiqa_bm25,decision_value,16,original_frozen_router,-0.021232820972114392,-0.04667217602314171,0.0009199676521596694
fiqa_bm25,decision_value,32,zero_budget,-0.008505202152152674,-0.026679203149408165,0.008161806453531751
fiqa_bm25,decision_value,32,random,-0.002835067384050891,-0.013447351688400168,0.0031227239138924908
fiqa_bm25,decision_value,32,original_frozen_router,-0.021232820972114392,-0.04710173815091981,0.0006061803217521535
fiqa_dense,random,0,zero_budget,0.0,0.0,0.0
fiqa_dense,random,0,random,0.0,0.0,0.0
fiqa_dense,random,0,original_frozen_router,-0.007491044938178077,-0.04462481496105133,0.029489222436215493
fiqa_dense,random,4,zero_budget,0.004994029958785384,-0.022078559072929837,0.0350448873380746
fiqa_dense,random,4,random,0.0,0.0,0.0
fiqa_dense,random,4,original_frozen_router,-0.002497014979392693,-0.023267905010309415,0.012832735777511215
fiqa_dense,random,8,zero_budget,0.004994029958785384,-0.02325163840238029,0.035636331846661866
fiqa_dense,random,8,random,0.0,0.0,0.0
fiqa_dense,random,8,original_frozen_router,-0.002497014979392693,-0.02470747359400373,0.012754938354136292
fiqa_dense,random,16,zero_budget,0.004994029958785384,-0.020259398278857792,0.03691501314144313
fiqa_dense,random,16,random,0.0,0.0,0.0
fiqa_dense,random,16,original_frozen_router,-0.002497014979392693,-0.022903553210267814,0.014156192987034275
fiqa_dense,random,32,zero_budget,0.007491044938178077,-0.03060798093816947,0.044421698905572835
fiqa_dense,random,32,random,0.0,0.0,0.0
fiqa_dense,random,32,original_frozen_router,0.0,0.0,0.0
fiqa_dense,fixed,0,zero_budget,0.0,0.0,0.0
fiqa_dense,fixed,0,random,0.0,0.0,0.0
fiqa_dense,fixed,0,original_frozen_router,-0.007491044938178077,-0.04491113201452388,0.02821951458381724
fiqa_dense,fixed,4,zero_budget,0.002497014979392692,-0.012611796286367985,0.02273689076845
fiqa_dense,fixed,4,random,-0.002497014979392693,-0.024541312763613165,0.013627105435418181
fiqa_dense,fixed,4,original_frozen_router,-0.004994029958785384,-0.03629725339749049,0.01950806221041911
fiqa_dense,fixed,8,zero_budget,0.002497014979392692,-0.013023759194343112,0.024198508825910466
fiqa_dense,fixed,8,random,-0.002497014979392693,-0.024686163214054074,0.011481417704090054
fiqa_dense,fixed,8,original_frozen_router,-0.004994029958785384,-0.03603530088527729,0.02353404433662323
fiqa_dense,fixed,16,zero_budget,0.004994029958785386,-0.022519312358959015,0.03509516402909894
fiqa_dense,fixed,16,random,-4.934324553889585e-19,-0.02227053577243528,0.02321949540736442
fiqa_dense,fixed,16,original_frozen_router,-0.002497014979392693,-0.023752550621430536,0.01286591667748913
fiqa_dense,fixed,32,zero_budget,0.007491044938178077,-0.029515570075496295,0.044882231510124763
fiqa_dense,fixed,32,random,0.0,0.0,0.0
fiqa_dense,fixed,32,original_frozen_router,0.0,0.0,0.0
fiqa_dense,information_gain,0,zero_budget,0.0,0.0,0.0
fiqa_dense,information_gain,0,random,0.0,0.0,0.0
fiqa_dense,information_gain,0,original_frozen_router,-0.007491044938178077,-0.04435254982237971,0.029264040878555178
fiqa_dense,information_gain,4,zero_budget,0.004994029958785384,-0.02179358053393255,0.03391173028962779
fiqa_dense,information_gain,4,random,0.0,0.0,0.0
fiqa_dense,information_gain,4,original_frozen_router,-0.002497014979392693,-0.022880411804174806,0.011476449926330847
fiqa_dense,information_gain,8,zero_budget,0.007491044938178077,-0.029066883384310977,0.04646935298589956
fiqa_dense,information_gain,8,random,0.002497014979392693,-0.012481227736713263,0.02468684605634828
fiqa_dense,information_gain,8,original_frozen_router,0.0,0.0,0.0
fiqa_dense,information_gain,16,zero_budget,0.007491044938178077,-0.03192854492548493,0.045002147060088024
fiqa_dense,information_gain,16,random,0.002497014979392693,-0.013850902769461389,0.022637468595668335
fiqa_dense,information_gain,16,original_frozen_router,0.0,0.0,0.0
fiqa_dense,information_gain,32,zero_budget,0.007491044938178077,-0.02981413686964136,0.04412998788724743
fiqa_dense,information_gain,32,random,0.0,0.0,0.0
fiqa_dense,information_gain,32,original_frozen_router,0.0,0.0,0.0
fiqa_dense,decision_value,0,zero_budget,0.0,0.0,0.0
fiqa_dense,decision_value,0,random,0.0,0.0,0.0
fiqa_dense,decision_value,0,original_frozen_router,-0.007491044938178077,-0.04585186930198941,0.029987382999080558
fiqa_dense,decision_value,4,zero_budget,0.004994029958785384,-0.02281373191268932,0.03490502856133459
fiqa_dense,decision_value,4,random,0.0,0.0,0.0
fiqa_dense,decision_value,4,original_frozen_router,-0.002497014979392693,-0.025039164426845756,0.011198562020053976
fiqa_dense,decision_value,8,zero_budget,0.007491044938178077,-0.030674174389431274,0.044634611223633394
fiqa_dense,decision_value,8,random,0.002497014979392693,-0.013662470726221032,0.02403740679524004
fiqa_dense,decision_value,8,original_frozen_router,0.0,0.0,0.0
fiqa_dense,decision_value,16,zero_budget,0.007491044938178077,-0.031003408505564857,0.04662642250546086
fiqa_dense,decision_value,16,random,0.002497014979392693,-0.012725317930806775,0.02231380913242269
fiqa_dense,decision_value,16,original_frozen_router,0.0,0.0,0.0
fiqa_dense,decision_value,32,zero_budget,0.007491044938178077,-0.028787883598889674,0.04485934413323274
fiqa_dense,decision_value,32,random,0.0,0.0,0.0
fiqa_dense,decision_value,32,original_frozen_router,0.0,0.0,0.0
nfcorpus_bm25,random,0,zero_budget,0.0,0.0,0.0
nfcorpus_bm25,random,0,random,0.0,0.0,0.0
nfcorpus_bm25,random,0,original_frozen_router,0.0,0.0,0.0
nfcorpus_bm25,random,4,zero_budget,0.0,0.0,0.0
nfcorpus_bm25,random,4,random,0.0,0.0,0.0
nfcorpus_bm25,random,4,original_frozen_router,0.0,0.0,0.0
nfcorpus_bm25,random,8,zero_budget,0.00013779697335022933,0.0,0.000826781840101376
nfcorpus_bm25,random,8,random,0.0,0.0,0.0
nfcorpus_bm25,random,8,original_frozen_router,0.00013779697335022933,0.0,0.000826781840101376
nfcorpus_bm25,random,16,zero_budget,0.0008207211736654352,0.0,0.0036305220479842296
nfcorpus_bm25,random,16,random,0.0,0.0,0.0
